StateFIPS,State,Year,ANNUAL_MEDIAN_HOUSEHOLD_INCOME,ER_visits_hri_age_0_4,ER_visits_hri_age_5_14,ER_visits_hri_age_15_34,ER_visits_hri_age_35_64,ER_visits_hri_age_over_65,total_ER_visits,days_over_90_degrees,days_over_95_degrees,days_over_100_degrees,days_over_105_degrees,num_counties.x,HSP_visits_age_0_4,HSP_visits_age_5_14,HSP_visits_age_15_34,HSP_visits_age_35_64,HSP_visits_age_over_65,total_HS,HE_over_90_degrees,HE_over_95_degrees,HE_over_100_degrees,HE_over_105_degrees,num_counties.y,mortality_HRI,worker_HRI_cases
24,Maryland,2012,71169,30,129,513,638,328,1638,28.791666666666668,9.791666666666666,1.8333333333333333,0,24,2,1,30,97,132,262,26.541666666666668,6.333333333333333,0.5833333333333334,0,24,43,90
24,Maryland,2013,72482,18,66,320,404,124,932,11.291666666666666,1.3333333333333333,0,0,24,1,0,17,50,34,102,9.333333333333334,1,0,0,24,17,50
24,Maryland,2014,73851,20,36,249,291,106,702,17.083333333333332,4.333333333333333,0.08333333333333333,0,24,0,0,9,29,22,60,13,1.125,0,0,24,Suppressed,20
24,Maryland,2015,75784,24,89,338,387,122,960,5.291666666666667,0,0,0,24,0,4,17,36,20,77,3.25,0,0,0,24,Suppressed,60
24,Maryland,2016,78787,23,124,448,620,244,1459,17.208333333333332,1.125,0,0,24,0,0,24,72,51,147,13.375,0.3333333333333333,0,0,24,29,60
24,Maryland,2017,80711,14,65,300,389,162,930,7.708333333333333,0.875,0,0,24,0,0,12,54,25,91,5.375,0.75,0,0,24,Suppressed,20
24,Maryland,2018,83076,23,90,478,563,283,1437,7.958333333333333,0,0,0,24,0,0,30,69,67,166,6.666666666666667,0,0,0,24,30,130
24,Maryland,2019,86644,16,77,403,526,272,1294,12.375,1.5416666666666667,0,0,24,0,0,28,56,48,132,8.458333333333334,1.1666666666666667,0,0,24,25,130
24,Maryland,2020,88589,9,31,255,370,177,842,13.083333333333334,0.8333333333333334,0,0,24,0,1,15,54,43,113,10.375,0.625,0,0,24,28,40
25,Massachusetts,2011,63126,10,62,278,273,117,740,1.8571428571428572,0.42857142857142855,0,0,14,0,0,14,32,35,81,1.8571428571428572,0,0,0,14,Suppressed,20
25,Massachusetts,2012,65378,19,66,278,346,177,886,2.7857142857142856,0,0,0,14,1,0,16,34,52,103,2.142857142857143,0,0,0,14,0,No Data
25,Massachusetts,2013,66794,20,88,411,500,211,1230,4.571428571428571,0.14285714285714285,0,0,14,0,1,20,59,48,128,3.0714285714285716,0,0,0,14,Suppressed,20
25,Massachusetts,2014,69200,9,62,227,210,92,600,3.0714285714285716,0,0,0,14,0,0,7,25,17,49,1.9285714285714286,0,0,0,14,Suppressed,No Data
25,Massachusetts,2015,70659,18,50,250,242,120,680,1.5714285714285714,0.07142857142857142,0,0,14,1,2,11,13,31,58,1,0,0,0,14,0,No Data
25,Massachusetts,2016,75207,13,55,289,283,148,788,5,0,0,0,14,1,0,25,37,26,89,2.642857142857143,0,0,0,14,Suppressed,60
25,Massachusetts,2017,77385,10,39,204,249,137,639,0,0,0,0,14,0,0,10,48,34,92,0,0,0,0,14,Suppressed,No Data
25,Massachusetts,2018,79817,8,61,352,406,239,1066,4.571428571428571,0.42857142857142855,0,0,14,0,1,21,57,54,133,2.9285714285714284,0.2857142857142857,0,0,14,Suppressed,30
25,Massachusetts,2019,85700,8,16,222,291,180,717,1.0714285714285714,0,0,0,14,0,0,12,26,43,81,0.7142857142857143,0,0,0,14,Suppressed,30
25,Massachusetts,2020,87288,8,13,170,233,141,565,4.214285714285714,0.2857142857142857,0,0,14,0,0,13,40,42,95,3.357142857142857,0.2857142857142857,0,0,14,Suppressed,20
26,Michigan,2018,56640,46,127,635,751,324,1883,4.554216867469879,0,0,0,83,4,1,35,105,110,255,3.36144578313253,0,0,0,83,10,40
26,Michigan,2019,59522,26,87,489,511,224,1337,1.2891566265060241,0,0,0,83,0,5,32,64,55,156,0.9879518072289156,0,0,0,83,Suppressed,No Data
26,Michigan,2020,61352,12,46,420,499,257,1234,3.855421686746988,0.54216867469879515,0.012048192771084338,0,83,0,2,29,81,75,187,2.4216867469879517,0.0963855421686747,0,0,83,12,20
27,Minnesota,2011,56944,21,107,494,494,186,1302,26.919540229885058,10.632183908045977,2.839080459770115,0.9540229885057471,87,1,3,20,77,54,155,21.25287356321839,6.850574712643678,1,0.1839080459770115,87,Suppressed,70
27,Minnesota,2012,58828,18,105,460,471,171,1225,42.4367816091954,24.45977011494253,9.206896551724139,2.310344827586207,87,2,3,19,56,44,124,37.48275862068966,19.666666666666668,5.724137931034483,0.896551724137931,87,11,370
27,Minnesota,2013,60664,11,77,332,304,151,875,24.448275862068964,12.425287356321839,6.0344827586206895,1.160919540229885,87,0,1,18,46,29,94,20.344827586206897,10.068965517241379,3.9310344827586206,0.5057471264367817,87,Suppressed,40
27,Minnesota,2014,61473,17,24,182,151,61,435,14.10344827586207,2.6436781609195403,0.7241379310344828,0.06896551724137931,87,1,0,10,15,11,37,11.620689655172415,1.160919540229885,0.2988505747126437,0,87,Suppressed,No Data
27,Minnesota,2015,63459,6,47,259,236,104,652,23.71264367816092,7.712643678160919,1.6436781609195403,0.034482758620689655,87,0,1,7,14,14,36,19.160919540229884,5.344827586206897,0.9195402298850575,0,87,Suppressed,No Data
27,Minnesota,2016,65583,13,65,265,269,116,728,11.39080459770115,2.2873563218390807,0.14942528735632185,0,87,0,0,6,18,9,33,7.333333333333333,0.9885057471264368,0.022988505747126436,0,87,0,30
27,Minnesota,2017,68364,12,36,170,150,70,438,12.275862068965518,2.793103448275862,0.3103448275862069,0,87,1,1,11,7,15,35,8.425287356321839,1.0574712643678161,0,0,87,Suppressed,20
27,Minnesota,2018,70295,13,64,312,348,183,920,16.563218390804597,2.7701149425287355,0.5172413793103449,0.06896551724137931,87,2,2,14,38,33,89,12.620689655172415,1.6436781609195403,0.42528735632183906,0,87,Suppressed,20
27,Minnesota,2019,74529,12,41,226,229,137,645,5.919540229885057,0.22988505747126436,0,0,87,1,2,6,16,20,45,4.494252873563219,0.04597701149425287,0,0,87,Suppressed,30
27,Minnesota,2020,75489,2,22,215,243,131,613,15.436781609195402,3.5977011494252875,0.9310344827586207,0.11494252873563218,87,0,0,7,22,29,58,10.793103448275861,2.8275862068965516,0.6781609195402298,0.06896551724137931,87,Suppressed,60
29,Missouri,2011,45231,37,163,1357,1659,422,3638,72.73913043478261,44.017391304347825,22.05217391304348,9.556521739130435,115,1,0,79,238,160,478,70.4608695652174,41.52173913043478,20.582608695652173,8.521739130434783,115,46,160
29,Missouri,2012,45320,44,148,1204,1366,408,3170,82.57391304347826,58.2695652173913,35.52173913043478,18.408695652173915,115,1,4,75,215,116,411,79.6,55.17391304347826,33.23478260869565,16.252173913043478,115,50,90
29,Missouri,2013,46905,24,78,714,807,223,1846,54.45217391304348,23.51304347826087,9.02608695652174,1.208695652173913,115,1,1,52,111,52,217,50.756521739130434,20.973913043478262,7.834782608695652,0.4260869565217391,115,15,30
29,Missouri,2014,48288,31,99,687,784,224,1825,68.11304347826086,36.89565217391304,17.182608695652174,4.71304347826087,115,0,0,26,94,41,161,63.504347826086956,33.11304347826087,14.31304347826087,3.8521739130434782,115,12,40
